Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Negative Regulation Of Erythrocyte Differentiation (GO:0045647)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	ZFP36;MAFB
Negative Regulation Of Morphogenesis Of An Epithelium (GO:1905331)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	SULF1;TBX2
Negative Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002887)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	CX3CR1;SPI1
Negative Regulation Of Nervous System Process (GO:0031645)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	JAM2;TNFRSF21
Negative Regulation Of Relaxation Of Muscle (GO:1901078)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	PDE4D;PDE4B
Negative Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0097201)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	JUN;CITED2
Negative Regulation Of Trophoblast Cell Migration (GO:1901164)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	GJA1;TIMP1
Neutrophil Extravasation (GO:0072672)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	JAML;PECAM1
Pericardium Morphogenesis (GO:0003344)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	NOTCH1;FLRT3
Positive Regulation Of I-kappaB Phosphorylation (GO:1903721)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	CX3CR1;PLCG2
Positive Regulation Of T-helper 1 Cell Cytokine Production (GO:2000556)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	IL1B;IL18R1
Positive Regulation Of Animal Organ Morphogenesis (GO:0110110)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	SIX4;CD34
Positive Regulation Of Antigen Processing And Presentation (GO:0002579)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	CCL21;SLC11A1
Positive Regulation Of Cardiac Muscle Cell Differentiation (GO:2000727)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	EFNB2;WNT3A
Positive Regulation Of Cholesterol Storage (GO:0010886)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	MSR1;LCP1
Positive Regulation Of Dendritic Cell Antigen Processing And Presentation (GO:0002606)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	CCL21;SLC11A1
Positive Regulation Of Endothelial Cell Development (GO:1901552)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	CDH5;CLDN5
Positive Regulation Of Establishment Of Endothelial Barrier (GO:1903142)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	CDH5;CLDN5
Positive Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902043)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	SFRP1;TIMP3
Positive Regulation Of Granulocyte Differentiation (GO:0030854)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	TESC;HCLS1
Positive Regulation Of Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035360)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	PTGIS;CITED2
Positive Regulation Of Transcription Of Notch Receptor Target (GO:0007221)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	NOTCH1;NOTCH4
Positive Regulation Of Vesicle Fusion (GO:0031340)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	ANXA2;SNCA
Proline Metabolic Process (GO:0006560)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	AOC1;PYCR1
Protein Import (GO:0017038)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	PRF1;GPIHBP1
Protein Repair (GO:0030091)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	MSRA;MSRB3
Regulation Of T-helper 1 Cell Cytokine Production (GO:2000554)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	IL1B;IL18R1
Regulation Of Endothelial Cell-Matrix Adhesion Via Fibronectin (GO:1904904)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	MMP12;RRAS
Regulation Of Establishment Of T Cell Polarity (GO:1903903)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	RIPOR2;GSN
Regulation Of Glomerular Filtration (GO:0003093)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	PTPRO;GAS6
Regulation Of Glutamate Receptor Signaling Pathway (GO:1900449)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	PRNP;SHANK3
Regulation Of Mast Cell Chemotaxis (GO:0060753)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	VEGFC;VEGFD
Regulation Of Natural Killer Cell Mediated Immunity (GO:0002715)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	KLRB1;LEP
Regulation Of Neutrophil Extravasation (GO:2000389)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	RIPOR2;MDK
Regulation Of Relaxation Of Cardiac Muscle (GO:1901897)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	PDE4D;PDE4B
Regulation Of Retinal Ganglion Cell Axon Guidance (GO:0090259)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	PTPRO;SLIT2
Regulation Of Type 2 Immune Response (GO:0002828)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	CD74;NLRP3
Response To Bile Acid (GO:1903412)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	GPBAR1;FGFR4
Response To Granulocyte Macrophage Colony-Stimulating Factor (GO:0097012)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	ZFP36;ZFP36L2
Retinal Ganglion Cell Axon Guidance (GO:0031290)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	PTPRM;SLIT2
Tight Junction Organization (GO:0120193)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	CLDN11;CLDN5
Venous Blood Vessel Morphogenesis (GO:0048845)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	NOTCH1;ENG
Ventricular Compact Myocardium Morphogenesis (GO:0003223)	2/5	0.0453844066561684	0.178942975468943	0	0	8.5327812284334	26.3883657295935	DSP;TGFBR3
Phosphate-Containing Compound Metabolic Process (GO:0006796)	20/184	0.0455601977153063	0.179462192162228	0	0	1.56678768045542	4.83936969897189	PLA2G2D;PLA2G1B;LRRK2;GFPT1;PLA2G4C;PTPRD;HK3;PTPRB;INPP5A;PPA2;ALPP;HKDC1;ALPL;SLC29A4;LCP1;PLPP3;PLPP2;FBP1;PLPP1;PFKP
Homotypic Cell-Cell Adhesion (GO:0034109)	7/46	0.0464980936462061	0.182979442017807	0	0	2.30076709993607	7.05954484385421	PDGFRA;CEACAM5;PLEK;HBB;PLPP3;MYL9;ACTG1
Protein Autophosphorylation (GO:0046777)	18/162	0.0466234915379311	0.183295639679074	0	0	1.6054605722261	4.9217814147502	DDR1;PDGFRA;DAPK2;LRRK2;STK39;AURKB;AURKA;FGR;HCK;MELK;GRK5;KIT;MAP3K20;NEK2;SIK1;PRKD1;TEK;FGFR4
Pattern Recognition Receptor Signaling Pathway (GO:0002221)	8/56	0.0478929283828614	0.187742124845725	0	0	2.13686763686764	6.49348648967757	FCN1;FCN3;CASP1;PLCG2;TLR8;NLRP3;CD14;INAVA
Regulation Of Mitotic Nuclear Division (GO:0007088)	8/56	0.0478929283828614	0.187742124845725	0	0	2.13686763686764	6.49348648967757	EDN1;RGCC;DUSP1;CAV2;IL1B;NUSAP1;NEK2;AURKA
Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377)	8/56	0.0478929283828614	0.187742124845725	0	0	2.13686763686764	6.49348648967757	TFAP2A;CDKN1A;PID1;ALOX5;RAC2;AGTR1;TGFBR2;SNCA
Positive Regulation Of Signaling (GO:0023056)	6/37	0.0484378892877098	0.188696907575804	0	0	2.48036611228932	7.50924127383048	EDN1;RAMP3;ANXA2;NMU;SNCA;WLS
Apoptotic Cell Clearance (GO:0043277)	5/28	0.048507487177265	0.188696907575804	0	0	2.78519453965963	8.42810205831855	FCN1;FCN3;TYROBP;GAS6;TGM2
Hematopoietic Progenitor Cell Differentiation (GO:0002244)	5/28	0.048507487177265	0.188696907575804	0	0	2.78519453965963	8.42810205831855	SFRP1;PLEK;TMEM190;KIT;SBDS
Negative Regulation Of Wound Healing (GO:0061045)	5/28	0.048507487177265	0.188696907575804	0	0	2.78519453965963	8.42810205831855	THBD;EDN1;CLDN3;MMRN1;ALOX5
Phospholipid Catabolic Process (GO:0009395)	5/28	0.048507487177265	0.188696907575804	0	0	2.78519453965963	8.42810205831855	PLA2G4F;PLA2G4C;ENPP2;PLBD1;PNPLA6
Positive Regulation Of Protein Import Into Nucleus (GO:0042307)	5/28	0.048507487177265	0.188696907575804	0	0	2.78519453965963	8.42810205831855	JUP;CDH1;HYAL2;HCLS1;PIK3R1
Regulation Of Bone Resorption (GO:0045124)	5/28	0.048507487177265	0.188696907575804	0	0	2.78519453965963	8.42810205831855	IL6;S1PR1;SPP1;TNFAIP3;TMEM64
Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010)	5/28	0.048507487177265	0.188696907575804	0	0	2.78519453965963	8.42810205831855	VEGFC;CLEC14A;VEGFD;PRKD1;SULF1
Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)	18/163	0.049011664888976	0.1904760882839	0	0	1.59430180234377	4.80793108309718	PTGER4;VIPR1;RAMP2;CALCRL;RAMP3;FPR1;ADCY4;ADM;ADRB2;FPR2;PTH1R;MARCO;ADGRG1;GRK5;ADGRE5;GNAQ;GPER1;ADGRL2
Regulation Of Insulin Secretion (GO:0050796)	11/87	0.0496158664717957	0.192640229650512	0	0	1.85675255847953	5.57665345989639	SFRP1;IL6;GPER1;IL1B;ALOX5;CCL5;ACSL4;SOX4;STX1A;FOXO1;SYT7
Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	24/232	0.0501945282682008	0.19392509534772	0	0	1.48301978330009	4.43697163658493	CD74;TFRC;CCL21;PRKCB;STAT1;ZFAND6;TNFRSF19;TNFAIP3;RORA;ATP2C1;INAVA;GJA1;IL1B;TRIM13;PLCG2;CASP1;HMOX1;SLC39A8;S100A4;PRKD1;GAPDH;TRIM22;WLS;BIRC3
MAPK Cascade (GO:0000165)	12/98	0.0510966210459407	0.19392509534772	0	0	1.79029364707403	5.32439938310102	PTGER4;ZFP36;ZDHHC9;LRRK2;IL1B;CCL5;MAP3K20;CCL3;CTSH;CCL2;SHANK3;ZFP36L2
Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558)	12/98	0.0510966210459407	0.19392509534772	0	0	1.79029364707403	5.32439938310102	IL10;FCN3;BTG2;CDKN1A;EDN1;DACH1;BMPR2;ANKRD1;TSPO;GZMB;IGF2BP3;GAPDH
DNA Conformation Change (GO:0071103)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	TOP2A;HHEX;HMGB3
Cell-Cell Junction Maintenance (GO:0045217)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	MYADM;FERMT2;INAVA
Dendrite Self-Avoidance (GO:0070593)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	ROBO4;PALLD;IGSF9
Lipoprotein Localization (GO:0044872)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	PRKCB;PPARG;CD36
Multicellular Organismal-Level Iron Ion Homeostasis (GO:0060586)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	SLC11A1;CYBRD1;HMOX1
Negative Regulation By Host Of Viral Transcription (GO:0043922)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	JUN;CCL5;CCL4
Negative Regulation Of Cell Cycle Phase Transition (GO:1901988)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	RGCC;SUSD2;ZFP36L2
Negative Regulation Of Mononuclear Cell Migration (GO:0071676)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	DUSP1;SLIT2;NBL1
Negative Regulation Of Stem Cell Differentiation (GO:2000737)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	NOTCH1;HNRNPU;ZFP36L2
Neutrophil Mediated Immunity (GO:0002446)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	IL6;ANXA3;PLA2G1B
Positive Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000516)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	HLA-DRA;HLA-DRB3;TGFBR2
Positive Regulation Of T Cell Chemotaxis (GO:0010820)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	CCL21;CCL5;STK39
Positive Regulation Of T-helper 1 Type Immune Response (GO:0002827)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	IL1B;SLC11A1;IL18R1
Positive Regulation Of Alcohol Biosynthetic Process (GO:1902932)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	PTH1R;BMP6;SNCA
Positive Regulation Of Calcium-Mediated Signaling (GO:0050850)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	CCL4;PLCG2;CDH13
Positive Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002888)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	ITGAM;SPI1;TYROBP
Positive Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903428)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	DUOXA1;PLCG2;CD36
Regulation Of Cell Communication By Electrical Coupling (GO:0010649)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	CAV1;PDE4D;CASQ2
Regulation Of Monooxygenase Activity (GO:0032768)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	IL1B;LEP;SNCA
Regulation Of Sensory Perception (GO:0051931)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	TMEM100;CCL3;MGLL
Response To Iron Ion (GO:0010039)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	TFAP2A;BMP6;SNCA
Response To Muramyl Dipeptide (GO:0032495)	3/12	0.0511382716412149	0.19392509534772	0	0	4.26795580110497	12.68958053657	VIM;INAVA;CHMP5
Cognition (GO:0050890)	7/47	0.0513576177182403	0.194394554879553	0	0	2.24312673130194	6.65971317435338	DOP1B;C5AR1;FAM107A;MGAT3;HLA-DRA;MAGT1;SHROOM4
Epithelial To Mesenchymal Transition (GO:0001837)	7/47	0.0513576177182403	0.194394554879553	0	0	2.24312673130194	6.65971317435338	TGFBR3;OLFM1;NOTCH1;HEY1;NOTCH4;S100A4;TBX3
Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043280)	13/109	0.0520046455474548	0.19625419062727	0	0	1.7377216620306	5.13743894586239	GSN;TNFSF15;LAPTM5;PPM1F;GPER1;CASP1;NLRP3;PPARG;IFT57;SOX7;S100A9;S100A8;SNCA
Myeloid Cell Differentiation (GO:0030099)	8/57	0.0523229049365887	0.19625419062727	0	0	2.09314495028781	6.17544960939025	ALAS2;SNRK;SPI1;MAF;ZBTB16;KIT;HCLS1;EVI2B
Cellular Response To Estradiol Stimulus (GO:0071392)	4/20	0.0525241616104933	0.19625419062727	0	0	3.20196959225985	9.43454574925441	SFRP1;RAMP3;GPER1;SSTR2
Endoplasmic Reticulum Calcium Ion Homeostasis (GO:0032469)	4/20	0.0525241616104933	0.19625419062727	0	0	3.20196959225985	9.43454574925441	WFS1;ATP2A2;HERPUD1;TGM2
Long-Term Memory (GO:0007616)	4/20	0.0525241616104933	0.19625419062727	0	0	3.20196959225985	9.43454574925441	PRNP;CAMK2N1;SGK1;LDLR
Negative Regulation Of Viral Life Cycle (GO:1903901)	4/20	0.0525241616104933	0.19625419062727	0	0	3.20196959225985	9.43454574925441	FCN1;SNX3;FCN3;GSN
Positive Regulation Of Epithelial Cell Differentiation (GO:0030858)	4/20	0.0525241616104933	0.19625419062727	0	0	3.20196959225985	9.43454574925441	TMEM100;BTG1;ATOH8;SFN
Positive Regulation Of Lipid Storage (GO:0010884)	4/20	0.0525241616104933	0.19625419062727	0	0	3.20196959225985	9.43454574925441	C3;MSR1;PLIN2;LCP1
Positive Regulation Of Phospholipase Activity (GO:0010518)	4/20	0.0525241616104933	0.19625419062727	0	0	3.20196959225985	9.43454574925441	PDGFRA;CCL5;KIT;AGTR1
Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904707)	4/20	0.0525241616104933	0.19625419062727	0	0	3.20196959225985	9.43454574925441	IL10;JUN;GJA1;MMP9
Regulation Of Calcium Ion Import (GO:0090279)	4/20	0.0525241616104933	0.19625419062727	0	0	3.20196959225985	9.43454574925441	CXCL12;SLN;CCL3;CCL2
Regulation Of Smooth Muscle Contraction (GO:0006940)	4/20	0.0525241616104933	0.19625419062727	0	0	3.20196959225985	9.43454574925441	CNN1;CAV1;NMU;PROK2
Response To Ketone (GO:1901654)	4/20	0.0525241616104933	0.19625419062727	0	0	3.20196959225985	9.43454574925441	TGFBR3;CCL21;CAV1;SLIT2
Sensory Perception Of Pain (GO:0019233)	4/20	0.0525241616104933	0.19625419062727	0	0	3.20196959225985	9.43454574925441	MME;CCL2;PROK2;RETREG1
Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034)	11/88	0.0531530818291604	0.198421917397113	0	0	1.83253968253968	5.3777328213712	RIPOR2;DOCK11;GPM6A;MYO3B;CCL21;PALM;RAC2;CDC42EP2;BRK1;PIK3R1;AGRN
Fatty Acid Transport (GO:0015908)	6/38	0.0541351055870166	0.201165063592302	0	0	2.40272491349481	7.00700035429932	FABP4;CRABP2;FABP5;SLCO2A1;PPARG;CD36
Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098)	6/38	0.0541351055870166	0.201165063592302	0	0	2.40272491349481	7.00700035429932	PRNP;NCF1;NEDD9;FCGR1A;GAS6;HBEGF
Regulation Of Intracellular Transport (GO:0032386)	6/38	0.0541351055870166	0.201165063592302	0	0	2.40272491349481	7.00700035429932	GRIPAP1;LRRK2;WWC1;GAS1;LCP1;CRYAB
Response To Peptide (GO:1901652)	6/38	0.0541351055870166	0.201165063592302	0	0	2.40272491349481	7.00700035429932	MMP12;PRNP;RAMP3;STAT1;MMP9;INAVA
Response To Transforming Growth Factor Beta (GO:0071559)	6/38	0.0541351055870166	0.201165063592302	0	0	2.40272491349481	7.00700035429932	CLEC3B;SFRP1;HYAL2;ANKRD1;WNT2;ZFP36L2
Cellular Response To Insulin Stimulus (GO:0032869)	12/99	0.0544795406467683	0.202260265412135	0	0	1.76961970717213	5.14946956079619	CEACAM1;RAB31;PKM;CAV2;PLA2G1B;INSIG1;RARRES2;PDK4;PPARG;ZNF106;PIK3R1;FOXO1
Cellular Response To Nutrient Levels (GO:0031669)	10/78	0.0549587430971342	0.203445364231272	0	0	1.88604727109442	5.47174847799717	RIPOR1;SFRP1;BMPR2;LRRK2;VPS41;FAM107A;PDK4;LCP1;CD68;FOXO1
Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760)	10/78	0.0549587430971342	0.203445364231272	0	0	1.88604727109442	5.47174847799717	IL33;IL6;TYROBP;IFNGR1;CCL3;PLCG2;LCP1;CD14;LILRA2;HLA-E
Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189)	13/110	0.0552354538019359	0.203445364231272	0	0	1.71971380640351	4.98054957524758	PTGER4;RAMP2;CALCRL;RAMP3;ADCY4;ADM;ADRB2;PTH1R;ADGRG1;ADGRE5;GNAQ;GPER1;ADGRL2
Regulation Of JNK Cascade (GO:0046328)	13/110	0.0552354538019359	0.203445364231272	0	0	1.71971380640351	4.98054957524758	NCF1;GADD45B;CCL21;TNFRSF19;DUSP19;MAPK8IP3;MTURN;TGFBR3;SDCBP;RASSF2;IL1B;SIRPA;CCN2
JNK Cascade (GO:0007254)	5/29	0.0552487410851697	0.203445364231272	0	0	2.66900069156293	7.72918505774839	PTGER4;LRRK2;SH2D3C;TNFRSF19;MAP3K20
Regulation Of Blood Coagulation (GO:0030193)	5/29	0.0552487410851697	0.203445364231272	0	0	2.66900069156293	7.72918505774839	THBD;EDN1;CAV1;F12;EMILIN2
Regulation Of Developmental Growth (GO:0048638)	5/29	0.0552487410851697	0.203445364231272	0	0	2.66900069156293	7.72918505774839	GHR;OLFM1;SIX4;LEP;DLL1
Response To Alcohol (GO:0097305)	5/29	0.0552487410851697	0.203445364231272	0	0	2.66900069156293	7.72918505774839	TGFBR3;CCL21;CCL3;SLIT2;TGFBR2
Response To Interferon-Beta (GO:0035456)	5/29	0.0552487410851697	0.203445364231272	0	0	2.66900069156293	7.72918505774839	AIM2;STAT1;IRF1;MNDA;UBE2G2
Cellular Response To Mechanical Stimulus (GO:0071260)	7/48	0.0565251427151083	0.207957328849707	0	0	2.18829808796703	6.28713300990081	PTGER4;TNFSF14;IL1B;IRF1;CASP1;TLR8;AQP1
Cellular Response To Peptide Hormone Stimulus (GO:0071375)	11/89	0.0568551863732488	0.208605728902389	0	0	1.80894764957265	5.18670122981384	NR4A2;CEACAM1;PKM;RAB31;PLA2G1B;GPER1;INSIG1;CAV1;PPARG;PIK3R1;FOXO1
Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138)	11/89	0.0568551863732488	0.208605728902389	0	0	1.80894764957265	5.18670122981384	IL6;RAMP3;TFRC;WNT3A;CAV1;SH2D3C;HCLS1;PRKD1;GAS6;CD44;SNCA
Sensory Perception Of Mechanical Stimulus (GO:0050954)	11/89	0.0568551863732488	0.208605728902389	0	0	1.80894764957265	5.18670122981384	TFAP2A;COL1A1;CLIC5;RIPOR2;MYO3B;WFS1;COL11A1;CDH23;BIRC5;GRAP;CCDC50
Inorganic Anion Transport (GO:0015698)	8/58	0.0570076677159335	0.208788658808401	0	0	2.05117117117117	5.87572237388322	CLIC5;CLIC4;CLIC3;TTYH3;SLC11A1;FXYD1;ANO6;XPR1
Muscle Organ Development (GO:0007517)	8/58	0.0570076677159335	0.208788658808401	0	0	2.05117117117117	5.87572237388322	SGCE;TAGLN;DES;SGCA;FHL1;TCF21;SGCG;HBEGF
Protein Phosphorylation (GO:0006468)	46/500	0.0573001357577838	0.209671090286351	0	0	1.30492106542085	3.73135952359131	ACVRL1;DDR1;BMPR2;DYRK2;GMFG;LRRK2;STK39;AURKB;AURKA;EFEMP1;GRK5;MAP3K20;PDK4;CCL2;NEK2;CTSG;JAK1;PDGFRA;PRKCH;PRKCB;DAPK2;PRKCE;IGFBP3;NEK7;IRAK3;SRPK1;TGFBR2;FGR;TGFBR3;HCK;SNRK;MELK;CDK6;CREB1;SBK1;MYO3B;KIT;BTK;BIRC5;SIK1;PRKD1;TEK;GAS6;SGK1;FGFR4;HCST
Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)	14/122	0.058754896162518	0.214801143293159	0	0	1.66353514265832	4.71509205266224	IL33;DYRK2;CCL21;CIRBP;TENT5B;KLF4;LARP6;IL6;RGCC;IL1B;CCL2;VIM;FGFR4;SOX4
Cellular Response To UV (GO:0034644)	10/79	0.0590218143324485	0.214811952163446	0	0	1.85861267839363	5.25959168476377	MFAP4;CDKN1A;MME;HYAL1;HYAL2;MAP3K20;TIMP1;MMP9;AURKB;AQP1
Positive Regulation Of Protein Localization To Membrane (GO:1905477)	10/79	0.0590218143324485	0.214811952163446	0	0	1.85861267839363	5.25959168476377	PRNP;ITGAM;PRKCH;RAMP3;GPER1;PRKCE;GZMB;PIK3R1;SPTBN1;NKD2
Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903322)	10/79	0.0590218143324485	0.214811952163446	0	0	1.85861267839363	5.25959168476377	UBB;ANGPT1;WFS1;LRRK2;CAV1;FAM107A;LAPTM5;SEPTIN4;INAVA;BIRC3
Response To Insulin (GO:0032868)	10/79	0.0590218143324485	0.214811952163446	0	0	1.85861267839363	5.25959168476377	CEACAM1;PKM;RAB31;PLA2G1B;INSIG1;LEP;SLC2A1;PPARG;PIK3R1;FOXO1
Vesicle Fusion (GO:0006906)	10/79	0.0590218143324485	0.214811952163446	0	0	1.85861267839363	5.25959168476377	CAV2;SYT11;VPS41;CHMP3;STXBP6;SYT7;RAB8B;CHMP5;NKD2;SNCA
Negative Regulation Of Cell-Substrate Adhesion (GO:0010812)	6/39	0.0602206444471883	0.218588583635691	0	0	2.32978924189997	6.54610215136589	NOTCH1;FZD4;PTPRO;FBLN1;SEMA3E;CORO1C
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244)	6/39	0.0602206444471883	0.218588583635691	0	0	2.32978924189997	6.54610215136589	UBB;CAV1;SEPTIN4;NUPR1;S100A9;S100A8
Regulation Of Protein Tyrosine Kinase Activity (GO:0061097)	6/39	0.0602206444471883	0.218588583635691	0	0	2.32978924189997	6.54610215136589	PRNP;HYAL2;CAV1;NEDD9;FCGR1A;GAS6
Phospholipid Metabolic Process (GO:0006644)	9/69	0.0608096324160396	0.218986722916876	0	0	1.92326629680999	5.38515923752887	PLA2G2D;PLA2G1B;PLA2G4C;ENPP2;PLBD1;LCP1;PLPP3;PLPP2;PLPP1
Positive Regulation Of Protein Kinase Activity (GO:0045860)	16/145	0.0611485953653604	0.218986722916876	0	0	1.5920914026416	4.44901725274626	EGR1;PRNP;CDKN1A;CCL21;SLC11A1;LRRK2;DUSP19;NEDD9;ADRB2;AXIN2;TGFBR2;RASSF2;CCL5;GAS6;FCGR1A;SNCA
Lipid Catabolic Process (GO:0016042)	4/21	0.0612935784308749	0.218986722916876	0	0	3.01345583153787	8.41381035465419	HSD11B1;PLA2G1B;LCP1;CES1
Negative Regulation Of Osteoclast Differentiation (GO:0045671)	4/21	0.0612935784308749	0.218986722916876	0	0	3.01345583153787	8.41381035465419	MAFB;TMEM178A;CCL3;LILRB3
Plasma Membrane Repair (GO:0001778)	4/21	0.0612935784308749	0.218986722916876	0	0	3.01345583153787	8.41381035465419	SYT11;CHMP3;SYT7;CHMP5
Positive Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902993)	4/21	0.0612935784308749	0.218986722916876	0	0	3.01345583153787	8.41381035465419	IFNGR1;PSG1;AGER;ABCG1
Regulation Of Cell-Substrate Junction Assembly (GO:0090109)	4/21	0.0612935784308749	0.218986722916876	0	0	3.01345583153787	8.41381035465419	MACF1;LIMCH1;GPM6B;CORO1C
