Gene	adj.P.Val	logFC	Regulation
ILMN_1764577	2.45112482996873e-18	-1.8062328769294	Downregulated
ILMN_1704554	2.5496800193813e-18	-1.7112042370014	Downregulated
ILMN_2129161	2.59547504413301e-18	-1.88809377446425	Downregulated
ILMN_1664176	2.6901065070715e-18	-2.0372938412694	Downregulated
ILMN_1658835	2.71471004259944e-18	-2.9316516237445	Downregulated
ILMN_2137789	2.71471004259944e-18	-2.3852157993206	Downregulated
ILMN_2266595	2.91522995144311e-18	-2.13949624507375	Downregulated
ILMN_1776157	3.08863226794284e-18	-1.64033310837639	Downregulated
ILMN_1668247	3.15923379258602e-18	-2.04822835917306	Downregulated
ILMN_2400947	3.25513819795426e-18	-2.0433396430608	Downregulated
ILMN_1799600	3.25513819795426e-18	-1.25945159628084	Downregulated
ILMN_1782691	3.31276695290556e-18	-2.83568388547689	Downregulated
ILMN_2360730	3.35114265674596e-18	-1.57468324666779	Downregulated
ILMN_1699651	3.35114265674596e-18	-2.80380402369087	Downregulated
ILMN_1750790	3.68245432206608e-18	-1.32150215424016	Downregulated
ILMN_1750373	4.10533649176419e-18	-2.60133949367203	Downregulated
ILMN_1872404	4.19925373760965e-18	-1.52630426675477	Downregulated
ILMN_1679797	4.43333142073356e-18	-1.98688092511323	Downregulated
ILMN_1704730	4.43333142073356e-18	-2.36355435232878	Downregulated
ILMN_1762294	4.81443854629827e-18	-1.2373454454019	Downregulated
ILMN_2319326	4.93132684730234e-18	-1.85475604385789	Downregulated
ILMN_1723684	4.98131010020575e-18	-2.89325478969538	Downregulated
ILMN_1672350	4.98131010020575e-18	-2.06942117700643	Downregulated
ILMN_1813688	5.46336280081182e-18	-3.64730056412281	Downregulated
ILMN_2316386	5.46336280081182e-18	-1.29369454087088	Downregulated
ILMN_2205963	6.10074758480081e-18	-1.77077319764803	Downregulated
ILMN_2341229	6.29212147854896e-18	-1.97344691727453	Downregulated
ILMN_1685917	6.58621125714273e-18	-1.93594963767147	Downregulated
ILMN_2172969	6.58621125714273e-18	-1.79833964460546	Downregulated
ILMN_1741165	6.76366697755246e-18	-1.94441152478541	Downregulated
ILMN_1701906	7.10100733650655e-18	-1.48333324437947	Downregulated
ILMN_1741917	7.42597186973247e-18	-1.58075137379804	Downregulated
ILMN_1716983	7.64908348213637e-18	-1.44948370844104	Downregulated
ILMN_1658384	7.72975042365511e-18	-3.097350850917	Downregulated
ILMN_1806721	8.2040173152769e-18	-1.73437133451371	Downregulated
ILMN_1671046	9.10047595012038e-18	-1.53107626253155	Downregulated
ILMN_1659936	9.10047595012038e-18	-1.85684781700159	Downregulated
ILMN_1695590	9.81999067076118e-18	-2.1828824014658	Downregulated
ILMN_2188333	1.05311384210717e-17	-2.34762423418731	Downregulated
ILMN_2345292	1.15899681331525e-17	-1.55896146659236	Downregulated
ILMN_1715417	1.15899681331525e-17	-1.14252719922686	Downregulated
ILMN_2169152	1.18505420899325e-17	-2.68856574102871	Downregulated
ILMN_1761782	1.20685477822033e-17	-2.09934246055786	Downregulated
ILMN_2067269	1.22198838793665e-17	-1.48371026189365	Downregulated
ILMN_2121408	1.28582863513436e-17	-2.24329202649585	Downregulated
ILMN_1854270	1.28582863513436e-17	-1.70623674071983	Downregulated
ILMN_2170814	1.66598022867714e-17	-2.65015571032017	Downregulated
ILMN_1751062	1.66598022867714e-17	-2.09895763557588	Downregulated
ILMN_2076600	1.70272985420341e-17	-2.48086024850675	Downregulated
ILMN_2384056	1.7113909421102e-17	-1.94992078291356	Downregulated
ILMN_1747305	1.7923960280227e-17	-1.78978279781566	Downregulated
ILMN_1785646	1.7923960280227e-17	-1.88205677725483	Downregulated
ILMN_1915908	1.88768701268857e-17	-1.67407113285506	Downregulated
ILMN_1785071	1.91573645637748e-17	-2.82068397046802	Downregulated
ILMN_1810836	1.96029996572677e-17	-1.94164253108806	Downregulated
ILMN_1698995	1.96449385163731e-17	-1.43735275210192	Downregulated
ILMN_2359945	1.96832931835604e-17	-2.67831225694932	Downregulated
ILMN_1792168	2.20762794326137e-17	1.32671703462247	Upregulated
ILMN_1720829	2.40644487127269e-17	-2.08664981202607	Downregulated
ILMN_2361603	2.44750453547977e-17	-1.77901595086011	Downregulated
ILMN_1709486	2.44750453547977e-17	-2.44264082671189	Downregulated
ILMN_1791280	2.49576570443735e-17	-1.98018559215324	Downregulated
ILMN_1768227	2.59479878121332e-17	-3.41094202109654	Downregulated
ILMN_1751326	2.64114225934849e-17	-2.36917868917237	Downregulated
ILMN_1735877	2.69743748580379e-17	-2.00092127475833	Downregulated
ILMN_1743367	2.81565985677368e-17	-1.81559001881381	Downregulated
ILMN_1686097	2.8350392788766e-17	2.3003942866215	Upregulated
ILMN_1749234	2.91999352497137e-17	-1.66621990110207	Downregulated
ILMN_1744806	2.94184885511671e-17	-2.56844533370955	Downregulated
ILMN_1663142	3.22307567910742e-17	-1.58542971775532	Downregulated
ILMN_1797875	3.22747737613529e-17	-2.39982773838682	Downregulated
ILMN_2059535	3.25214877132965e-17	-1.60717106880914	Downregulated
