Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
PI3K-Akt signaling pathway	36/354	0.0252903774044178	0.082941560304811	0	0	1.45857723848257	5.36367172574618	CDKN1A;CSF3R;ITGB4;LAMC3;YWHAB;LAMA4;LAMA3;PIK3R1;THBS2;COMP;GHR;GNG10;CCND2;SPP1;JAK1;MCL1;PDGFRA;VWF;ANGPT1;VEGFC;VEGFD;GNG11;COL1A1;IL6;COL1A2;CDK6;CREB1;PPP2R2B;KIT;COL4A5;COL6A6;ITGA5;TEK;SGK1;FGFR4;IL7R
Natural killer cell mediated cytotoxicity	16/131	0.0278379758163436	0.090325347063668	0	0	1.78726859566732	6.40084180923808	FCER1G;PRKCB;IFNGR1;ICAM2;PRF1;GZMB;PIK3R1;HLA-E;TYROBP;FCGR3B;PPP3CC;PLCG2;RAC2;CD48;CD247;HCST
Central carbon metabolism in cancer	10/70	0.0289942580121971	0.0930868283549486	0	0	2.13844552394171	7.57150311463939	HK3;PDGFRA;SLC7A5;PKM;HKDC1;KIT;SLC2A1;PIK3R1;SLC16A3;PFKP
Phenylalanine metabolism	4/17	0.0306385175241038	0.0973411233838716	0	0	3.94152357663069	13.7381698589574	AOC3;ALDH3B2;MAOB;MAOA
Sulfur metabolism	3/10	0.0310834983153331	0.0977367730533668	0	0	5.4879636937648	19.0491511475483	SELENBP1;PAPSS2;PAPSS1
Fat digestion and absorption	7/43	0.0337245809262029	0.103898961439312	0	0	2.49290166204986	8.44976074054132	PLA2G2D;PLA2G1B;CD36;PLPP3;PLPP2;PLPP1;ACAT1
Fatty acid degradation	7/43	0.0337245809262029	0.103898961439312	0	0	2.49290166204986	8.44976074054132	ACADL;ALDH2;ADH1B;ADH1A;ACSL4;ADH5;ACAT1
Serotonergic synapse	14/113	0.0341310125643908	0.104099588321392	0	0	1.81565129373063	6.13245093666064	PLA2G4F;MAOB;PRKCB;MAOA;DUSP1;PLA2G4C;HTR3A;PTGS2;GNG11;SLC6A4;PTGS1;GNG10;GNAQ;ALOX5
Hepatocellular carcinoma	19/168	0.0358708427628873	0.108322842006739	0	0	1.63848374639121	5.45259617318305	GSTM3;NQO1;CDKN1A;GADD45B;PRKCB;FZD4;WNT3A;GSTO1;PIK3R1;AXIN2;ACTG1;TGFBR2;CDK6;GSTA4;GSTA2;PLCG2;HMOX1;WNT2;GSTM5
Folate biosynthesis	5/26	0.0365577432492263	0.109314820500137	0	0	3.05078047816637	10.0946123926922	QDPR;AKR1B10;ALPP;ALPL;MOCS1
Apelin signaling pathway	16/137	0.0398588129232768	0.117320327744656	0	0	1.6980908227028	5.4719478125009	GABARAPL2;EGR1;GABARAPL1;PRKCE;ADCY4;GNG11;KLF2;MYLK;GNG10;RRAS;CDH1;GNAQ;AGTR1;APLNR;SPP1;CCN2
Phospholipase D signaling pathway	17/148	0.0400043084768662	0.117320327744656	0	0	1.66675183919427	5.36488768186153	PDGFRA;PLA2G4F;CXCL8;FCER1G;PLA2G4C;ADCY4;PIK3R1;GAB2;RRAS;KIT;AGTR1;PLCG2;FCER1A;PLPP3;MS4A2;PLPP2;PLPP1
Biosynthesis of unsaturated fatty acids	5/27	0.0422782671678027	0.122808299868379	0	0	2.91195146485603	9.21190634532761	HACD1;SCD;SCD5;ACOT2;ACOT1
Thyroid hormone synthesis	10/75	0.0438906784366837	0.126289216256496	0	0	1.97341589708002	6.16900331235135	DUOX1;GPX2;CREB1;GPX3;PRKCB;GNAQ;CANX;ADCY4;ATP1B3;PDIA4
Neomycin, kanamycin and gentamicin biosynthesis	2/5	0.0453844066561684	0.129366766636742	0	0	8.5327812284334	26.3883657295935	HK3;HKDC1
Type II diabetes mellitus	7/46	0.0464980936462061	0.131314060760119	0	0	2.30076709993607	7.05954484385421	SOCS2;HK3;SOCS3;PKM;PRKCE;HKDC1;PIK3R1
Aldosterone-regulated sodium reabsorption	6/37	0.0484378892877098	0.135537213144509	0	0	2.48036611228932	7.50924127383048	PRKCB;NEDD4L;SFN;ATP1B3;PIK3R1;SGK1
