Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Eukaryotic Translation Elongation R-HSA-156842	5/90	0.790702226303583	0.999995343838681	0	0	0.751118704743308	0.176388085448016	RPL3;RPL21;EEF1A2;RPL15;RPS23
Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756	5/90	0.790702226303583	0.999995343838681	0	0	0.751118704743308	0.176388085448016	DYRK2;PDZD2;UBB;AURKB;AURKA
Viral mRNA Translation R-HSA-192823	5/90	0.790702226303583	0.999995343838681	0	0	0.751118704743308	0.176388085448016	BLOC1S6;RPL3;RPL21;RPL15;RPS23
NRAGE Signals Death Thru JNK R-HSA-193648	3/57	0.792380742638625	0.999995343838681	0	0	0.709599447513812	0.165133205713087	ARHGEF10;RNASE1;ARHGEF6
RHOG GTPase Cycle R-HSA-9013408	4/74	0.794137158790404	0.999995343838681	0	0	0.729746273077303	0.168205850842634	TFRC;CAV1;PIK3R1;DOCK2
CTLA4 Inhibitory Signaling R-HSA-389513	1/21	0.794531207191853	0.999995343838681	0	0	0.638931034482759	0.14695606414428	CD86
Citric Acid Cycle (TCA Cycle) R-HSA-71403	1/21	0.794531207191853	0.999995343838681	0	0	0.638931034482759	0.14695606414428	LDLR
Defects In Vitamin And Cofactor Metabolism R-HSA-3296482	1/21	0.794531207191853	0.999995343838681	0	0	0.638931034482759	0.14695606414428	LMBRD1
Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803	1/21	0.794531207191853	0.999995343838681	0	0	0.638931034482759	0.14695606414428	JUN
FRS-mediated FGFR4 Signaling R-HSA-5654712	1/21	0.794531207191853	0.999995343838681	0	0	0.638931034482759	0.14695606414428	FGFR4
Mitochondrial tRNA Aminoacylation R-HSA-379726	1/21	0.794531207191853	0.999995343838681	0	0	0.638931034482759	0.14695606414428	PPA2
Negative Regulation Of NMDA Receptor-Mediated Neuronal Transmission R-HSA-9617324	1/21	0.794531207191853	0.999995343838681	0	0	0.638931034482759	0.14695606414428	PPM1F
Nitric Oxide Stimulates Guanylate Cyclase R-HSA-392154	1/21	0.794531207191853	0.999995343838681	0	0	0.638931034482759	0.14695606414428	PDE5A
Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686	1/21	0.794531207191853	0.999995343838681	0	0	0.638931034482759	0.14695606414428	HBEGF
Signaling By FGFR3 In Disease R-HSA-5655332	1/21	0.794531207191853	0.999995343838681	0	0	0.638931034482759	0.14695606414428	PIK3R1
Synaptic Adhesion-Like Molecules R-HSA-8849932	1/21	0.794531207191853	0.999995343838681	0	0	0.638931034482759	0.14695606414428	PTPRD
Negative Regulation Of MAPK Pathway R-HSA-5675221	2/41	0.808472635078781	0.999995343838681	0	0	0.655093698571959	0.139278453938663	UBB;YWHAB
E2F Mediated Regulation Of DNA Replication R-HSA-113510	1/22	0.809453525708078	0.999995343838681	0	0	0.608472906403941	0.128628689004961	MCM8
FRS-mediated FGFR1 Signaling R-HSA-5654693	1/22	0.809453525708078	0.999995343838681	0	0	0.608472906403941	0.128628689004961	KL
PINK1-PRKN Mediated Mitophagy R-HSA-5205685	1/22	0.809453525708078	0.999995343838681	0	0	0.608472906403941	0.128628689004961	UBB
Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276	3/59	0.811370454075919	0.999995343838681	0	0	0.684182616416732	0.143015063400201	CCNB2;CDKN1A;UBB
Assembly Of Pre-Replicative Complex R-HSA-68867	6/110	0.817994956307092	0.999995343838681	0	0	0.736425339366516	0.147947193995112	UBB;H2BC5;UBE2C;MCM8;MCM4;H3-3B
Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193	4/77	0.818933780846606	0.999995343838681	0	0	0.699643097196846	0.139755144378217	EGFL7;SLPI;GFPT1;ST6GALNAC6
Signaling By Insulin Receptor R-HSA-74752	4/77	0.818933780846606	0.999995343838681	0	0	0.699643097196846	0.139755144378217	KL;GAB2;PIK3R1;FGFR4
Defective Pyroptosis R-HSA-9710421	2/42	0.81908500079974	0.999995343838681	0	0	0.638681849551415	0.12746008536103	H2BC5;H3-3B
Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion R-HSA-381676	2/42	0.81908500079974	0.999995343838681	0	0	0.638681849551415	0.12746008536103	GNG10;GNG11
Intra-Golgi Traffic R-HSA-6811438	2/42	0.81908500079974	0.999995343838681	0	0	0.638681849551415	0.12746008536103	ALPP;MAN1C1
PRC2 Methylates Histones And DNA R-HSA-212300	2/42	0.81908500079974	0.999995343838681	0	0	0.638681849551415	0.12746008536103	H2BC5;H3-3B
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722	3/60	0.820301222337825	0.999995343838681	0	0	0.672143064844432	0.133140559580757	H2BC5;AXIN2;H3-3B
HDACs Deacetylate Histones R-HSA-3214815	3/60	0.820301222337825	0.999995343838681	0	0	0.672143064844432	0.133140559580757	H2BC5;SAP18;ARID4B
DNA Replication Pre-Initiation R-HSA-69002	7/127	0.823034842594227	0.999995343838681	0	0	0.744477146814404	0.144991944441397	CDC45;UBB;H2BC5;UBE2C;MCM8;MCM4;H3-3B
Cell Cycle, Mitotic R-HSA-69278	33/523	0.823106029571352	0.999995343838681	0	0	0.85769983592873	0.166968644562905	CDKN1C;TOP2A;CDKN1A;MCM8;CDCA5;AURKB;AURKA;CDC20;CCNB2;TUBA1B;TUBB6;TUBA1A;CDC45;CCND2;PTTG1;UBB;TUBB3;NEK2;TK1;H3-3B;GINS2;H2BC5;PRKCB;UBE2C;NEK7;TUBB2B;CENPF;CDK6;BIRC5;MCM4;CHMP4B;TUBGCP4;BLZF1
Digestion R-HSA-8935690	1/23	0.823292782310713	0.999995343838681	0	0	0.580783699059561	0.112929552170356	ALPP
Dopamine Neurotransmitter Release Cycle R-HSA-212676	1/23	0.823292782310713	0.999995343838681	0	0	0.580783699059561	0.112929552170356	STX1A
Miscellaneous Transport And Binding Events R-HSA-5223345	1/23	0.823292782310713	0.999995343838681	0	0	0.580783699059561	0.112929552170356	MAGT1
Nucleotide Salvage R-HSA-8956321	1/23	0.823292782310713	0.999995343838681	0	0	0.580783699059561	0.112929552170356	TK1
PI-3K cascade:FGFR2 R-HSA-5654695	1/23	0.823292782310713	0.999995343838681	0	0	0.580783699059561	0.112929552170356	PIK3R1
RHOBTB2 GTPase Cycle R-HSA-9013418	1/23	0.823292782310713	0.999995343838681	0	0	0.580783699059561	0.112929552170356	ACTG1
Telomere Extension By Telomerase R-HSA-171319	1/23	0.823292782310713	0.999995343838681	0	0	0.580783699059561	0.112929552170356	TINF2
Nuclear Events Mediated By NFE2L2 R-HSA-9759194	4/78	0.826632760998198	0.999995343838681	0	0	0.690151104802107	0.131401143095336	NQO1;NOTCH1;UBB;HMOX1
Oncogenic MAPK Signaling R-HSA-6802957	4/78	0.826632760998198	0.999995343838681	0	0	0.690151104802107	0.131401143095336	VWF;YWHAB;ARRB1;PAPSS1
Metabolism Of Nucleotides R-HSA-15869	5/95	0.827894653662453	0.999995343838681	0	0	0.709197786998617	0.133945733964745	AK1;AK4;GLRX;TK1;PAICS
P75 NTR Receptor-Mediated Signaling R-HSA-193704	5/95	0.827894653662453	0.999995343838681	0	0	0.709197786998617	0.133945733964745	ARHGEF10;APH1B;UBB;RNASE1;ARHGEF6
Regulation Of PTEN Gene Transcription R-HSA-8943724	3/61	0.82886905072695	0.999995343838681	0	0	0.6605186702229	0.123974794738933	EGR1;JUN;PPARG
Selective Autophagy R-HSA-9663891	3/61	0.82886905072695	0.999995343838681	0	0	0.6605186702229	0.123974794738933	UBB;EPAS1;PLIN2
Condensation Of Prophase Chromosomes R-HSA-2299718	2/43	0.829166927161117	0.999995343838681	0	0	0.623070578531872	0.116722169457937	H2BC5;H3-3B
Mitotic Prophase R-HSA-68875	6/112	0.83093762756525	0.999995343838681	0	0	0.722452177319318	0.133798536271685	CCNB2;H2BC5;PRKCB;NEK7;BLZF1;H3-3B
RNA Polymerase I Transcription R-HSA-73864	4/79	0.834058129388238	0.999995343838681	0	0	0.680912232204561	0.123553008613055	CAVIN1;H2BC5;DPEP2;H3-3B
Aggrephagy R-HSA-9646399	1/24	0.83612753516604	0.999995343838681	0	0	0.555502248875562	0.0994205280982569	UBB
Defective Intrinsic Pathway For Apoptosis R-HSA-9734009	1/24	0.83612753516604	0.999995343838681	0	0	0.555502248875562	0.0994205280982569	JUN
Downstream Signaling Of Activated FGFR3 R-HSA-5654708	1/24	0.83612753516604	0.999995343838681	0	0	0.555502248875562	0.0994205280982569	PIK3R1
Impaired BRCA2 Binding To PALB2 R-HSA-9709603	1/24	0.83612753516604	0.999995343838681	0	0	0.555502248875562	0.0994205280982569	XRCC2
Xenobiotics R-HSA-211981	1/24	0.83612753516604	0.999995343838681	0	0	0.555502248875562	0.0994205280982569	CYP2F1
mTORC1-mediated Signaling R-HSA-166208	1/24	0.83612753516604	0.999995343838681	0	0	0.555502248875562	0.0994205280982569	YWHAB
RAB Geranylgeranylation R-HSA-8873719	3/62	0.837084012598288	0.999995343838681	0	0	0.649288322876674	0.115463487895116	RAB32;RAB31;RAB8B
Apoptosis R-HSA-109581	10/178	0.839504560528998	0.999995343838681	0	0	0.759269356597601	0.132829140014716	PPP3CC;GSN;FNTA;UBB;YWHAB;DAPK2;APIP;GZMB;SEPTIN4;VIM
